gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,emp,invt,lct,ni,oibdp,rect,revt,xrd,xsga,costat,sic
003570,2023-07-31,2023,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,282.2870,2218.0940,126.9870,77.0000,189.3640,488.9660,99.0500,227.5060,32.5080,3442.8080,,184.8920,A,5812
003570,2024-07-31,2024,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,278.2140,2161.4940,128.2950,77.6000,180.9580,454.2070,40.9300,187.5670,49.0860,3470.7620,,203.1840,A,5812
003708,2014-12-31,2014,INDL,C,D,STD,WEN,WENDY'S CO,USD,562.1020,4145.8420,298.4710,31.2000,8.8070,340.2240,121.4340,386.0250,73.3580,2061.0630,,274.2420,A,5812
003708,2015-12-31,2015,INDL,C,D,STD,WEN,WENDY'S CO,USD,616.5690,4108.7200,251.6220,21.2000,4.3120,268.7740,161.1420,478.6790,104.8540,1870.2970,,207.5450,A,5812
003708,2016-12-31,2016,INDL,C,D,STD,WEN,WENDY'S CO,USD,452.5320,3939.3140,150.0230,12.1000,2.8510,230.0810,129.6240,432.7780,98.8250,1435.4180,,257.9390,A,5812
003708,2017-12-31,2017,INDL,C,D,STD,WEN,WENDY'S CO,USD,404.3530,4096.9380,81.7100,12.1000,3.1560,227.1620,194.0290,370.6920,114.3900,1223.4080,,339.7690,A,5812
003708,2018-12-31,2018,INDL,C,D,STD,WEN,WENDY'S CO,USD,665.7180,4292.0350,69.8570,12.5000,3.6870,284.1850,460.1150,381.4520,109.8050,1589.9360,,659.8960,A,5812
003708,2019-12-31,2019,INDL,C,D,STD,WEN,WENDY'S CO,USD,554.0470,4994.5290,74.4530,13.3000,3.8910,349.6980,136.9400,396.9900,117.4610,1709.0020,,714.4820,A,5812
003708,2020-12-31,2020,INDL,C,D,STD,WEN,WENDY'S CO,USD,687.6230,5040.0060,68.9690,14.0000,4.7320,413.3080,117.8320,409.7160,109.8910,1733.8250,,709.2020,A,5812
003708,2021-12-31,2021,INDL,C,D,STD,WEN,WENDY'S CO,USD,592.8490,5101.3910,77.9840,14.5000,5.9340,426.9250,200.3920,486.5800,119.5400,1896.9980,,798.7380,A,5812
003708,2022-12-31,2022,INDL,C,D,STD,WEN,WENDY'S CO,USD,1058.2830,5499.3440,85.5440,14.5000,7.1290,387.9990,177.3700,463.7430,116.4260,2095.5050,,856.1990,A,5812
003708,2023-12-31,2023,INDL,C,D,STD,WEN,WENDY'S CO,USD,837.6530,5182.8260,85.0210,15.3000,6.6900,381.9300,204.4400,513.2050,121.6830,2181.5780,,861.1020,A,5812
003708,2024-12-31,2024,INDL,C,D,STD,WEN,WENDY'S CO,USD,736.1400,5034.8430,94.3880,14.5000,6.5290,397.6310,194.3570,511.6080,99.9260,2246.4920,,936.9720,A,5812
003813,2015-01-31,2014,INDL,C,D,STD,TGT,TARGET CORP,USD,14087.0000,41404.0000,1786.0000,347.0000,8790.0000,11736.0000,-1636.0000,6891.0000,1122.0000,72618.0000,0.0000,14449.0000,A,5331
003813,2016-01-31,2015,INDL,C,D,STD,TGT,TARGET CORP,USD,14130.0000,40262.0000,1438.0000,341.0000,8601.0000,12622.0000,3363.0000,7339.0000,779.0000,73785.0000,0.0000,14449.0000,A,5331
003813,2017-01-31,2016,INDL,C,D,STD,TGT,TARGET CORP,USD,11990.0000,37431.0000,1547.0000,323.0000,8309.0000,12708.0000,2737.0000,7271.0000,749.0000,69495.0000,0.0000,13352.0000,A,5331
003813,2018-01-31,2017,INDL,C,D,STD,TGT,TARGET CORP,USD,12564.0000,38999.0000,2533.0000,345.0000,8657.0000,13201.0000,2934.0000,6752.0000,929.0000,71879.0000,0.0000,14253.0000,A,5331
003813,2019-01-31,2018,INDL,C,D,STD,TGT,TARGET CORP,USD,12519.0000,41290.0000,3516.0000,360.0000,9497.0000,15014.0000,2937.0000,6584.0000,1100.0000,75356.0000,0.0000,15723.0000,A,5331
003813,2020-01-31,2019,INDL,C,D,STD,TGT,TARGET CORP,USD,12902.0000,42779.0000,3027.0000,368.0000,8992.0000,14487.0000,3281.0000,7245.0000,962.0000,78112.0000,0.0000,16250.0000,A,5331
003813,2021-01-31,2020,INDL,C,D,STD,TGT,TARGET CORP,USD,20756.0000,51248.0000,2649.0000,409.0000,10653.0000,20125.0000,4368.0000,9250.0000,1135.0000,93561.0000,0.0000,18615.0000,A,5331
003813,2022-01-31,2021,INDL,C,D,STD,TGT,TARGET CORP,USD,21573.0000,53811.0000,3544.0000,450.0000,13902.0000,21747.0000,6946.0000,11588.0000,1353.0000,106005.0000,0.0000,19752.0000,A,5331
003813,2023-01-31,2022,INDL,C,D,STD,TGT,TARGET CORP,USD,17846.0000,53335.0000,5528.0000,440.0000,13499.0000,19500.0000,2780.0000,6548.0000,1695.0000,109120.0000,0.0000,20658.0000,A,5331
003813,2024-01-31,2023,INDL,C,D,STD,TGT,TARGET CORP,USD,17498.0000,55356.0000,4806.0000,415.0000,11886.0000,19304.0000,4138.0000,8508.0000,1404.0000,107412.0000,0.0000,21554.0000,A,5331
003813,2025-01-31,2024,INDL,C,D,STD,TGT,TARGET CORP,USD,19454.0000,57769.0000,2891.0000,,12740.0000,20799.0000,4091.0000,8547.0000,,106566.0000,0.0000,21969.0000,A,5331
003964,2015-01-31,2014,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1888.4420,4170.0710,151.8880,40.0000,1374.4810,885.3230,331.8530,816.6880,56.5100,6780.1290,0.0000,1690.8360,A,5311
003964,2016-01-31,2015,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1668.8830,3865.6250,165.7880,40.0000,1374.5050,751.2160,269.3700,707.0920,47.1380,6754.5450,0.0000,1696.6480,A,5311
003964,2017-01-31,2016,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1837.9210,3888.1360,104.8240,40.0000,1406.4030,976.5170,169.2200,569.9860,48.2300,6418.0090,0.0000,1681.6120,A,5311
003964,2018-01-31,2017,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1729.8510,3673.1690,130.4640,40.0000,1463.5610,1039.7010,221.3240,502.8010,39.6500,6422.6760,0.0000,1720.1570,A,5311
003964,2019-01-31,2018,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1770.5320,3431.3690,137.0640,39.0000,1528.4170,933.5350,170.2630,492.0030,51.0180,6503.3490,0.0000,1719.8260,A,5311
003964,2020-01-31,2019,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1848.0820,3430.2570,103.3830,38.0000,1465.0070,930.8200,111.0810,389.8410,48.3390,6343.2110,0.0000,1717.3920,A,5311
003964,2021-01-31,2020,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1661.9400,3092.5150,60.4530,29.0000,1087.7630,772.8770,-71.6540,125.8290,155.5820,4433.1850,0.0000,1238.2930,A,5311
003964,2022-01-31,2021,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,1914.6510,3245.5570,104.3600,30.5000,1080.1780,966.1860,862.4730,1317.4540,42.6240,6624.2670,0.0000,1559.1480,A,5311
003964,2023-01-31,2022,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,2071.8460,3329.1500,120.1050,29.9000,1120.2080,858.9610,891.6370,1315.1310,57.7500,6996.2150,0.0000,1697.4860,A,5311
003964,2024-01-31,2023,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,2208.2100,3448.9060,132.9440,29.6000,1093.9990,827.7560,738.8470,1104.3280,62.2420,6874.4200,0.0000,1738.9840,A,5311
003964,2025-01-31,2024,INDL,C,D,STD,DDS,DILLARDS INC  -CL A,USD,2368.1000,3531.1000,104.6000,,1172.0000,834.9000,593.5000,918.1000,55.7000,6590.2000,0.0000,1752.6000,A,5311
004016,2015-01-31,2014,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,3532.6090,11224.1040,373.9670,105.5000,2782.5210,1987.7400,1065.3450,2125.0930,0.0000,18909.5880,0.0000,4019.1140,A,5331
004016,2016-01-31,2015,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,3432.4100,11257.8850,504.8060,113.4000,3074.1530,1995.5960,1165.0800,2297.8940,,20368.5620,0.0000,4359.6970,A,5331
004016,2017-01-31,2016,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,3677.7710,11672.2980,560.2960,121.0000,3258.7850,2622.8050,1251.1330,2442.0490,,21986.5980,0.0000,4719.1890,A,5331
004016,2018-01-31,2017,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,4247.8520,12516.9110,646.4560,129.0000,3609.0250,2964.8780,1538.9600,2436.8490,,23470.9670,0.0000,5188.7410,A,5331
004016,2019-01-31,2018,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,4663.0200,13204.0380,734.3800,135.0000,4097.0040,3015.8570,1589.4720,2604.2400,57.8040,25625.0430,0.0000,5653.7640,A,5331
004016,2020-01-31,2019,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,5177.8680,22825.0840,784.8430,143.0000,4676.8480,4543.5600,1712.5550,2833.7040,76.5370,27753.9730,0.0000,6155.7570,A,5331
004016,2021-01-31,2020,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,6914.2190,25862.6240,1027.9630,158.0000,5247.4770,5710.7830,2655.0500,4291.0650,90.7600,33746.8390,0.0000,7164.0970,A,5331
004016,2022-01-31,2021,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,6303.8430,26327.3710,1070.4600,163.0000,5614.3250,5979.3570,2399.2320,3856.5750,,34220.4490,0.0000,7592.3310,A,5331
004016,2023-01-31,2022,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,7581.0090,29083.3670,1560.5820,170.0000,6760.7330,5887.7680,2415.9890,4046.1020,,37844.8630,0.0000,8491.7960,A,5331
004016,2024-01-31,2023,INDL,C,D,STD,DG,DOLLAR GENERAL CORP,USD,8010.7240,30795.5910,1700.2220,185.8000,6994.2660,6725.7010,1661.2740,3286.2000,,38691.6090,0.0000,9272.7240,A,5331
004560,2014-08-31,2014,INDL,C,D,STD,FDO,FAMILY DOLLAR STORES,USD,2102.0460,3857.2950,436.2880,60.0000,1609.9320,1129.0300,284.5030,786.2960,116.7130,10489.3300,0.0000,2756.9190,I,5331
004611,2015-01-31,2014,INDL,C,D,STD,M,MACY'S INC,USD,8679.0000,21461.0000,770.0000,166.9000,5516.0000,5536.0000,1526.0000,3869.0000,424.0000,28105.0000,0.0000,7373.0000,A,5311
004611,2016-01-31,2015,INDL,C,D,STD,M,MACY'S INC,USD,7652.0000,20576.0000,777.0000,157.9000,5506.0000,5728.0000,1072.0000,3100.0000,558.0000,27079.0000,0.0000,7483.0000,A,5311
004611,2017-01-31,2016,INDL,C,D,STD,M,MACY'S INC,USD,7626.0000,19851.0000,596.0000,148.3000,5399.0000,5647.0000,619.0000,2373.0000,522.0000,25778.0000,0.0000,7784.0000,A,5311
004611,2018-01-31,2017,INDL,C,D,STD,M,MACY'S INC,USD,7444.0000,19381.0000,487.0000,130.0000,5178.0000,5075.0000,1547.0000,2374.0000,363.0000,24837.0000,0.0000,8302.0000,A,5311
004611,2019-01-31,2018,INDL,C,D,STD,M,MACY'S INC,USD,7445.0000,19194.0000,657.0000,130.0000,5263.0000,5232.0000,1108.0000,2447.0000,400.0000,25739.0000,0.0000,9039.0000,A,5311
004611,2020-01-31,2019,INDL,C,D,STD,M,MACY'S INC,USD,6810.0000,21172.0000,902.0000,123.0000,5188.0000,5750.0000,564.0000,1912.0000,409.0000,25331.0000,0.0000,9229.0000,A,5311
004611,2021-01-31,2020,INDL,C,D,STD,M,MACY'S INC,USD,6184.0000,17706.0000,338.0000,75.7110,3774.0000,5357.0000,-3944.0000,-72.0000,276.0000,18097.0000,0.0000,6842.0000,A,5311
004611,2022-01-31,2021,INDL,C,D,STD,M,MACY'S INC,USD,6758.0000,17590.0000,354.0000,88.8570,4383.0000,5416.0000,1430.0000,3146.0000,297.0000,25292.0000,0.0000,8064.0000,A,5311
004611,2023-01-31,2022,INDL,C,D,STD,M,MACY'S INC,USD,5853.0000,16866.0000,888.0000,94.5700,4267.0000,4861.0000,1177.0000,2503.0000,300.0000,25305.0000,0.0000,8353.0000,A,5311
004611,2024-01-31,2023,INDL,C,D,STD,M,MACY'S INC,USD,6089.0000,16246.0000,631.0000,85.5810,4361.0000,4430.0000,105.0000,1273.0000,293.0000,23866.0000,0.0000,9347.0000,A,5311
004611,2025-01-31,2024,INDL,C,D,STD,M,MACY'S INC,USD,6479.0000,16402.0000,518.0000,,4468.0000,4524.0000,582.0000,1646.0000,320.0000,23006.0000,0.0000,8501.0000,A,5311
004759,2014-09-30,2014,INDL,C,D,STD,BDL,FLANIGANS ENTERPRISES INC,USD,13.3940,53.1030,2.5310,1.2780,2.9540,10.4900,2.7650,9.1070,0.5220,89.8020,0.0000,15.9690,A,5812
004759,2015-09-30,2015,INDL,C,D,STD,BDL,FLANIGANS ENTERPRISES INC,USD,13.7170,54.6220,3.9620,1.5610,2.4100,10.6490,3.4610,10.0740,0.5710,99.1210,0.0000,14.1310,A,5812
004759,2016-09-30,2016,INDL,C,D,STD,BDL,FLANIGANS ENTERPRISES INC,USD,15.3310,56.5640,3.0740,1.7140,2.6330,11.4560,3.0400,9.4860,0.6890,103.6180,0.0000,15.6400,A,5812
